company,"sum(total_laid_off)"
"&Open",9.0
"#Paid",19.0
"100 Thieves",12.0
Absci,40.0
Acko,45.0
Adara,
Addi,
AdRoll,210.0
Adwerx,40.0
Airbnb,1930.0
AirMap,
Albert,20.0
Alegion,
Alerzo,400.0
Alice,176.0
Almanac,
Amdocs,700.0
Amount,130.0
Amperity,13.0
Amplero,17.0
Anodot,35.0
Apollo,
"Apollo Insurance",
Appgate,34.0
Arete,
Aspire,23.0
AtoB,32.0
Autobooks,
Automox,
Avast,
Aware,
Away,60.0
Awok,
Balto,65.0
"Bamboo Health",52.0
Bcredi,
"Beam Benefits",31.0
"Berkeley Lights",
"Berlin Brands Group",100.0
"Big Fish Games",250.0
BigCommerce,180.0
Bikayi,
Bilibili,
BlackBuck,200.0
"Bleacher Report",20.0
BloomTech,88.0
Blueground,130.0
Booking.com,4601.0
BookMyShow,270.0
Booksy,200.0
Booktopia,30.0
Boozt,70.0
Breathe,50.0
"Bright Machines",30.0
Brighte,88.0
Bringg,10.0
Bryter,100.0
Bullhorn,100.0
"Butterfly Network",
Bytedance,3750.0
Byton,
"Callisto Media",140.0
"Camp K12",
CaptivateIQ,31.0
"Carbon Health",450.0
Caribou,
Carsome,
Carta,161.0
"Cashfree Payments",100.0
"Castlight Health",
Cedar,
"Century Therapeutics",
"Change Invest",
Change.org,
"Chipper Cash",150.0
Chrono24,145.0
Clari,65.0
"Clear Capital",628.0
Cloudera,
Clutch,226.0
Clyde,22.0
CodeCombat,8.0
"Coding Dojo",7.0
Cohesity,
Coinsquare,30.0
Collibra,
Consider.co,13.0
ContraFect,16.0
"Core Scientific",
Cosuno,
"CS Disco",62.0
"Culture Amp",36.0
Curative,109.0
Currency,
Cyren,121.0
"Cyteir Therapeutics",
Daraz,
Dark,6.0
Demandbase,27.0
"Descartes Labs",12.0
"Desktop Metal",
Digimarc,
"Divergent 3D",57.0
Domestika,150.0
Dooly,12.0
DoorDash,1250.0
Dover,23.0
Drift,59.0
DSCO,12.0
EasyPost,125.0
"Eat Just",40.0
"Eden / Managed By Q",40.0
Edmodo,
eGym,100.0
"Element AI",62.0
Elinvar,43.0
Eruditus,40.0
Etermax,40.0
Eventbrite,580.0
EverBridge,200.0
Exterro,24.0
ezCater,400.0
FabHotels,80.0
"Faze Medicines",
Finastra,
Finder,
Firebolt,
FireHydrant,
"First AML",
"Flash Coffee",
Flexport,640.0
Flynote,
Flywire,60.0
Food52,41.0
Forma.ai,15.0
Forto,60.0
FreshDirect,40.0
Freshly,329.0
FullStory,
Fundbox,164.0
Fungible,
FutureLearn,
Geekwire,5.0
GitLab,130.0
"Give Legacy",
Glints,198.0
Glossier,249.0
"GOAT Group",
GoBear,22.0
GoDaddy,981.0
GoFundMe,94.0
GoMechanic,
GoNuts,
GoodGood,
GoodRx,140.0
GoPro,200.0
Gopuff,2300.0
Grailed,
"Green Labs",
Greenlight,104.0
"Group Nine Media",50.0
Groupon,3800.0
GSR,
Guidewire,
HelloFresh,611.0
"Her Campus Media",10.0
HighRadius,25.0
Homebot,18.0
Homie,159.0
Hopin,380.0
Hoxhunt,
HP,100.0
HubSpot,500.0
HuffPo,47.0
Huobi,575.0
IBM,3900.0
Ibotta,87.0
Icon,
Ike,10.0
"Immersive Labs",38.0
Immutable,20.0
Indigo,80.0
Infarm,550.0
Infogrid,
Instacart,1877.0
Intapp,45.0
Introhive,57.0
Invitae,1000.0
"Jam City",200.0
Jobcase,39.0
Jumia,900.0
Juniper,
Kaltura,75.0
KeepTruckin,349.0
Kenoby,18.0
Kickstarter,25.0
Kinde,8.0
Kitopi,217.0
"Kitty Hawk",170.0
Klarna,800.0
Knock,115.0
Knotel,147.0
Koinly,16.0
Koo,40.0
Kune,
Labster,40.0
Lantern,
Latch,335.0
LeafLink,80.0
League,
LearnUpon,27.0
Lemon,100.0
Lemonade,52.0
"Lending Club",685.0
Lev,30.0
Levelset,
Lever,86.0
"Lighter Capital",40.0
Lightricks,80.0
LiveTiles,50.0
Loft,1289.0
Loom,57.0
Loopio,11.0
LoopMe,8.0
"Lora DiCarlo",
"Lucira Health",26.0
Lusha,30.0
"Luxury Presence",44.0
Lyft,1742.0
Lyst,50.0
Mainstreet,45.0
MakeMyTrip,700.0
Mark43,
Marketforce,54.0
"Match Group",
Matrixport,29.0
Matterport,90.0
MaxMilhas,167.0
MediaMath,53.0
Meero,350.0
Mejuri,86.0
"Meow Wolf",201.0
Merative,200.0
MeridianLink,
MessageBird,
Metaplex,
Metromile,160.0
Mews,
Microsoft,10000.0
Migo,
Mindgeek,
Minted,147.0
"Misfits Market",649.0
"Mobile Premier League",100.0
"Mode Analytics",42.0
"Mode Global",
"Mojo Vision",
"Morning Consult",
Motive,237.0
Mozilla,250.0
Mudafy,
Mux,40.0
"Mythical Games",
Namogoo,45.0
Nav,30.0
nCino,100.0
"New Relic",290.0
"Newfront Insurance",94.0
NextRoll,
Niantic,85.0
"Nomad Health",119.0
Noom,995.0
NSO,100.0
NuoDB,20.0
"O'Reilly Media",75.0
Oda,210.0
Offerpad,
"OFFOR Health",16.0
"Olive AI",215.0
"OLX Group",1500.0
"OLX India",250.0
Omie,136.0
"On Deck",145.0
Opendoor,1150.0
OpenSea,
Optimizely,60.0
Oracle,200.0
OrCam,62.0
"Oscar Health",70.0
Ouster,
Packable,138.0
Paddle,
PaisaBazaar,1500.0
PartnerStack,40.0
PatientPop,100.0
Paytm,500.0
"Pear Therapeutics ",25.0
Pendo,45.0
Personalis,
Petal,
PetLove,94.0
PickYourTrail,70.0
Picsart,90.0
Pitch,59.0
Planetly,200.0
Pliops,12.0
Plum,36.0
Pluralsight,400.0
Pocketmath,21.0
Polly,47.0
"Pomelo Fashion",55.0
Popin,
Project44,63.0
"Pulse Secure",78.0
Puppet,50.0
Purse,
"Quanergy Systems",72.0
Quanterix,130.0
Quanto,28.0
"Quantum SI",
Quibi,
Quillt,
QuintoAndar,248.0
Quora,
Qwick,
"Rad Power Bikes",163.0
RainFocus,
Raken,60.0
RateGenius,
RealSelf,51.0
Recharge,84.0
Remedy,82.0
Remesh,
"Repertoire Immune Medicines",65.0
Replicated,50.0
ResearchGate,25.0
Rev.com,85.0
Ribbon,306.0
"Rock Content",100.0
Route,
Rubica,
Sama,
"Sauce Labs",30.0
Sayurbox,
"Scale AI",
"Science 37 ",90.0
Scoop,92.0
Section4,32.0
Seegrid,90.0
Sema4,750.0
Service,
Sezzle,
Shef,29.0
"Shelf Engine",43.0
Sherpa,22.0
ShipBob,
Shogun,48.0
Shop101,200.0
Shopee,
Showpad,52.0
Shutterfly,1160.0
Sigfox,64.0
Signicat,
SirionLabs,130.0
SkySlope,50.0
Snapdocs,
Sojern,300.0
Soluto,120.0
"Sono Motors",300.0
Sophos,450.0
Splunk,395.0
SpotHero,40.0
Springbig,37.0
"Stack Overflow",40.0
Starry,100.0
Starship,
"Stitch Fix",1730.0
"Stockwell AI",
Storytel,100.0
StreamElements,40.0
StreamSets,
StubHub,200.0
Studio,33.0
Substack,13.0
SummerBio,101.0
Superhuman,23.0
SuperLearn,
Swappie,250.0
SweetEscape,
"Swing Education",
Swyftx,164.0
Synopsys,100.0
Syte,13.0
"Talis Biomedical",
"Tamara Mellon",20.0
Tanium,30.0
TCR2,30.0
Teachmint,45.0
TechAdvance,
Teleport,15.0
"Tempo Automation",54.0
"Tempus Ex",
Terminus,
"The Iconic",69.0
"The Modist",
" E Inc.",
2TM,190.0
2U,
54gene,95.0
8x8,355.0
98point6,
Acast,70.0
Acorns,50.0
Adobe,100.0
Ahead,44.0
Airlift,
Aiven,
Ajaib,67.0
Akerna,
"Akili Labs",46.0
"Apeel Sciences",
AppLovin,300.0
Aqgromalin,80.0
"Arch Oncology",
Arrival,800.0
"Arrive Logistics",75.0
Article,216.0
Assure,
Astra,40.0
Atlassian,500.0
Atsu,6.0
Attentive,
AU10TIX,19.0
Aura,70.0
Autograph,
Automatic,
"Automation Anywhere",260.0
Aya,5.0
Bakkt,
Banxa,70.0
Baraja,
Bark,126.0
"Benitago Group",
BetterCloud,
Betterfly,30.0
Bevi,30.0
"Beyond Meat",240.0
BigBear.ai,
BioMarin,120.0
Bird,544.0
BitMEX,75.0
BitOasis,9.0
Bitpanda,270.0
Bizongo,140.0
"Black Shark",900.0
Blockchain.com,260.0
"BM Technologies",
Bonsai,59.0
Borrowell,15.0
"Bossa Nova",61.0
Branch,3.0
"Branch Metrics",100.0
"Brave Care",40.0
Breather,120.0
Brex,198.0
"Bright Money",100.0
Britishvolt,206.0
Briza,26.0
"Bustle Digital Group",43.0
"Buy.com / Rakuten",87.0
Buzzer,
BuzzFeed,180.0
BVAccel,25.0
ByteDance,
C2FO,20.0
Cabin,
Cameo,167.0
Capiter,
Capitolis,37.0
"Captain Fresh ",120.0
Carbon,
CarDekho,200.0
Care.com,81.0
CareRev,
Carwow,70.0
Catalant,30.0
Catch.com.au,100.0
Chargebee,142.0
Checkmarx,100.0
Chef,
"Circulo Health",
Cisco,4100.0
"Citrine Informatics",22.0
Citrix,
"Clarify Health",15.0
ClassPass,154.0
Clearbanc,17.0
Clearco,185.0
ClearCo,50.0
"Clever Real Estate",
ClickUp,60.0
Clue,31.0
Clutter,
CNET,12.0
Codexis,
CoinDCX,80.0
CoinFLEX,
CoinTracker,19.0
"Color Health",300.0
ContaAzul,140.0
CoSchedule,
Crehana,
Crejo.Fun,170.0
CrowdStreet,24.0
Cue,558.0
Curve,65.0
Cuyana,
CyberCube,
Cybereason,300.0
D2L,
Daloopa,40.0
DataRails,30.0
Dazn,50.0
DealShare,100.0
"Deep Instinct",
Deliveroo,717.0
DialSource,5.0
"Digital Currency Gruop",10.0
DigitalOcean,200.0
Divvy,
Domio,
Domo,90.0
Drip,20.0
Dunzo,
"DUX Education",
"Dynamic Signal",35.0
eBay,500.0
Ecobee,47.0
Edifecs,30.0
Element,
Elementor,60.0
Embark,41.0
Emotive,30.0
Envato,100.0
Equitybee,49.0
"Esme Learning",
Esper,
eToro,100.0
Evernote,129.0
Exotel,142.0
Expert360,7.0
F5,100.0
Faire,84.0
Fandom,
"Fate Therapeutics",315.0
Feedzai,
"Fifth Season",100.0
"Finite State",16.0
"Finleap Connect",14.0
Fireblocks,30.0
FiscalNote,30.0
Fishbrain,
Fiverr,60.0
Flipboard,24.0
Flockjay,37.0
FloQast,
Flowr,
Flyhomes,500.0
"Foresight Insurance",
Freshbooks,38.0
Frubana,
FuboTV,
"G/O Media Group",14.0
Gemini,168.0
Genesis,112.0
"Genome Medical",23.0
GetYourGuide,90.0
GitHub,
GoCardless,
GoHealth,800.0
Gong,80.0
Google,12000.0
Graphcore,
GrayMeta,20.0
Grover,40.0
"Guardant Health",130.0
HackerEarth,
"Health IQ",
HealthifyMe,150.0
Help.com,16.0
Heycar,73.0
Hibob,70.0
Highsnobiety,51.0
Hired,
Hodlnaut,40.0
Homebound,
Homepoint,113.0
Houzz,250.0
HubHaus,
HumanForest,
Humu,26.0
Hyperscience,100.0
iFit,300.0
iFood,355.0
"Impossible Foods copy",140.0
Improbable,
Industrious,90.0
Informatica,450.0
Inmobi,50.0
Innovid,40.0
Intel,544.0
Intersect,19.0
Intrinsic,40.0
Involves,70.0
"iPrice Group",50.0
"Iron Ox",50.0
JD.ID,200.0
