country,"sum(total_laid_off)"
Indonesia,3521.0
Israel,3638.0
Australia,2324.0
"United Arab Emirates",995.0
Austria,570.0
Mexico,270.0
Argentina,323.0
Myanmar,200.0
Norway,140.0
Senegal,300.0
Brazil,10391.0
Sweden,11264.0
Seychelles,75.0
Netherlands,17220.0
"Hong Kong",730.0
Japan,85.0
Romania,80.0
Spain,250.0
"United States.",1685.0
Thailand,55.0
Finland,250.0
Luxembourg,45.0
Germany,8701.0
Denmark,240.0
Russia,400.0
France,915.0
Poland,25.0
"New Zealand",45.0
Kenya,349.0
Bulgaria,120.0
Ireland,257.0
Canada,6319.0
"United States",254374.0
India,35993.0
Singapore,5995.0
Nigeria,1882.0
"United Kingdom",6398.0
Chile,30.0
China,5905.0
Colombia,130.0
Malaysia,100.0
Portugal,115.0
Switzerland,62.0
Estonia,333.0
Lithuania,60.0
