industry,"sum(total_laid_off)"
Sales,13216.0
Transportation,31248.0
Travel,17129.0
,2930.0
Logistics,4026.0
Infrastructure,5785.0
Energy,802.0
Legal,836.0
Marketing,10258.0
Consumer,44782.0
Healthcare,25953.0
Support,3523.0
Media,5234.0
Finance,28344.0
Data,5135.0
Food,22855.0
HR,2783.0
Hardware,13828.0
Construction,3863.0
CryptoCurrency,68.0
"Crypto Currency",42.0
Retail,43613.0
Crypto,10583.0
Product,1233.0
"Real Estate",17565.0
Security,5979.0
Fin-Tech,215.0
Other,35789.0
Recruiting,2775.0
Education,13338.0
Aerospace,661.0
Manufacturing,20.0
Fitness,8748.0
